"","VENTAS_CAT","COD_PERSONA","NUM_CONTRATO","PRODUCTO","IND_MOR","EXPOSURE","EAD_STD","EAD_DT","LGD_STD","LGD_DT","PD_TTC","M"
"537","<= 100",30036925,6.50312000000006e+21,"Mortgage",23,1555770.79,1555770.79,1555770.79,0.35,0.45,0.032,4
"538","<= 100",30055482,6.50067000000002e+21,"Consumer Loan",23,94406.78,94406.78,94406.78,0.35,0.45,0.032,4
"539","<= 100",30055482,6.51067000010671e+21,"Lease",23,1936705.05,1936705.05,1936705.05,0.35,0.45,0.032,4
"540","<= 100",30055482,6.51067000010671e+21,"Lease",23,230909.18,230909.18,230909.18,0.35,0.45,0.032,4
"541","<= 100",30095875,6.51271000000006e+21,"Mortgage",23,1120327.75,1120327.75,1120327.75,0.35,0.45,0.032,4
"542","<= 100",30102723,6.51217000000006e+21,"Mortgage",23,1222884.03,1222884.03,1222884.03,0.35,0.45,0.032,4
"543","<= 100",30250749,6.50030000000006e+21,"Mortgage",30,1590347.89,1590347.89,1590347.89,0.35,0.45,0.032,4
"544","<= 100",30283736,6.50030000000006e+21,"Mortgage",30,1590347.89,1590347.89,1590347.89,0.35,0.45,0.032,4
"545","<= 100",30283855,6.50030000000006e+21,"Mortgage",30,1590347.89,1590347.89,1590347.89,0.35,0.45,0.032,4
"546","<= 100",30355400,6.51359000000002e+21,"Consumer Loan",23,54658.64,54658.64,54658.64,0.35,0.45,0.032,4
"547","<= 100",30383307,6.50077000000006e+21,"Mortgage",30,130753.75,130753.75,130753.75,0.35,0.45,0.032,4
"548","<= 100",30484022,6.59999458074119e+21,"Credit Card",20,2179.46,2179.46,2179.46,0.35,0.45,0.032,4
"549","<= 100",30504902,6.50001000000002e+21,"Consumer Loan",50,55587.19,55587.19,55587.19,0.35,0.45,0.032,4
"550","<= 100",30514388,6.50074e+21,"Consumer Loan",30,50764.15,50764.15,50764.15,0.35,0.45,0.032,4
"551","<= 100",30547334,6.50012000000006e+21,"Mortgage",30,77098.24,77098.24,77098.24,0.35,0.45,0.032,4
"552","<= 100",30565359,6.51085000000002e+21,"Consumer Loan",30,81114.03,81114.03,81114.03,0.35,0.45,0.032,4
"553","<= 100",30593077,6.50066000000002e+21,"Consumer Loan",23,309035.54,309035.54,309035.54,0.35,0.45,0.032,4
"554","<= 100",30612861,6.51093000000006e+21,"Mortgage",30,4502395.18,4502395.18,4502395.18,0.35,0.45,0.032,4
"555","<= 100",30639000,6.51195000000002e+21,"Consumer Loan",30,170465.93,170465.93,170465.93,0.35,0.45,0.032,4
"556","<= 100",30703794,6.51327000000006e+21,"Mortgage",30,1356889.75,1356889.75,1356889.75,0.35,0.45,0.032,4
"557","<= 100",30708540,6.51143000011431e+21,"Lease",30,366028.95,366028.95,366028.95,0.35,0.45,0.032,4
"558","<= 100",30725119,6.51171000000006e+21,"Mortgage",23,777315.91,777315.91,777315.91,0.35,0.45,0.032,4
"559","<= 100",30733987,6.50019e+21,"Consumer Loan",30,110342.47,110342.47,110342.47,0.35,0.45,0.032,4
"560","<= 100",30733987,6.50019e+21,"Consumer Loan",30,291096.43,291096.43,291096.43,0.35,0.45,0.032,4
"561","<= 100",30733987,6.50019e+21,"Consumer Loan",30,380075.59,380075.59,380075.59,0.35,0.45,0.032,4
"562","<= 100",30733987,6.50019e+21,"Consumer Loan",30,380351.28,380351.28,380351.28,0.35,0.45,0.032,4
"563","<= 100",30740722,6.50166000001661e+21,"Lease",20,520133.2,520133.2,520133.2,0.35,0.45,0.032,4
"564","<= 100",30748321,6.50031000000006e+21,"Mortgage",23,35002.92,35002.92,35002.92,0.35,0.45,0.032,4
"565","<= 100",30748321,6.50031000000311e+21,"Lease",20,88903.23,88903.23,88903.23,0.35,0.45,0.032,4
"566","<= 100",30807778,6.51196e+21,"Consumer Loan",30,756791.48,756791.48,756791.48,0.35,0.45,0.032,4
"567","<= 100",30830508,6.51033e+21,"Consumer Loan",30,22095.05,22095.05,22095.05,0.35,0.45,0.032,4
"568","<= 100",30830508,6.51033000000002e+21,"Consumer Loan",30,341861.38,341861.38,341861.38,0.35,0.45,0.032,4
"569","<= 100",31128998,6.50148000000002e+21,"Consumer Loan",30,103016.89,103016.89,103016.89,0.35,0.45,0.032,4
"570","<= 100",31466419,6.59999458075154e+21,"Credit Card",23,134.66,4600,4600,0.35,0.45,0.032,4
"571","<= 100",31466419,6.59999458075154e+21,"Credit Card",23,2496.16,7000,7000,0.35,0.45,0.032,4
"572","<= 100",31466419,6.59999458075154e+21,"Credit Card",23,125,5000,5000,0.35,0.45,0.032,4
"573","<= 100",31466419,6.59999458075154e+21,"Credit Card",23,1512.35,5600,5600,0.35,0.45,0.032,4
